id	savebits	saveparambits	saveadd	valshift	name
92	7	0	0	0	item_levelreq
93	7	0	20	0	item_fasterattackrate
94	7	0	64	0	item_levelreqpct
95	0	0	0	0	lastblockframe
96	7	0	20	0	item_fastermovevelocity
97	6	9	0	0	item_nonclassskill
98	1	8	0	0	state
99	7	0	20	0	item_fastergethitrate
100	0	0	0	0	monster_playercount
101	0	0	0	0	skill_poison_override_length
102	7	0	20	0	item_fasterblockrate
103	0	0	0	0	skill_bypass_undead
104	0	0	0	0	skill_bypass_demons
105	7	0	20	0	item_fastercastrate
106	0	0	0	0	skill_bypass_beasts
107	3	9	0	0	item_singleskill
108	1	0	0	0	item_restinpeace
109	9	0	0	0	curse_resistance
110	8	0	20	0	item_poisonlengthresist
111	9	0	20	0	item_normaldamage
112	7	0	-1	0	item_howl
113	7	0	0	0	item_stupidity
114	6	0	0	0	item_damagetomana
115	1	0	0	0	item_ignoretargetac
116	7	0	0	0	item_fractionaltargetac
117	7	0	0	0	item_preventheal
118	1	0	0	0	item_halffreezeduration
119	9	0	20	0	item_tohit_percent
120	7	0	128	0	item_damagetargetac
121	9	0	20	0	item_demondamage_percent
122	9	0	20	0	item_undeaddamage_percent
123	10	0	128	0	item_demon_tohit
124	10	0	128	0	item_undead_tohit
125	1	0	0	0	item_throwable
126	3	3	0	0	item_elemskill
127	3	0	0	0	item_allskills
128	5	0	0	0	item_attackertakeslightdamage
129	0	0	0	0	ironmaiden_level
130	0	0	0	0	lifetap_level
131	0	0	0	0	thorns_percent
132	0	0	0	0	bonearmor
133	0	0	0	0	bonearmormax
134	5	0	0	0	item_freeze
135	7	0	0	0	item_openwounds
136	7	0	0	0	item_crushingblow
137	7	0	0	0	item_kickdamage
138	7	0	0	0	item_manaafterkill
139	7	0	0	0	item_healafterdemonkill
140	7	0	0	0	item_extrablood
141	7	0	0	0	item_deadlystrike
142	7	0	0	0	item_absorbfire_percent
143	7	0	0	0	item_absorbfire
144	7	0	0	0	item_absorblight_percent
145	7	0	0	0	item_absorblight
146	7	0	0	0	item_absorbmagic_percent
147	7	0	0	0	item_absorbmagic
148	7	0	0	0	item_absorbcold_percent
149	7	0	0	0	item_absorbcold
150	7	0	0	0	item_slow
151	5	9	0	0	item_aura
152	1	0	0	0	item_indesctructible
153	1	0	0	0	item_cannotbefrozen
154	7	0	20	0	item_staminadrainpct
155	7	10	0	0	item_reanimate
156	7	0	0	0	item_pierce
157	7	0	0	0	item_magicarrow
158	7	0	0	0	item_explosivearrow
159	6	0	0	0	item_throw_mindamage
160	7	0	0	0	item_throw_maxdamage
161	0	0	0	0	skill_handofathena
162	0	0	0	0	skill_staminapercent
163	0	0	0	0	skill_passive_staminapercent
164	0	0	0	0	skill_concentration
165	0	0	0	0	skill_enchant
166	0	0	0	0	skill_pierce
167	0	0	0	0	skill_conviction
168	0	0	0	0	skill_chillingarmor
169	0	0	0	0	skill_frenzy
170	0	0	0	0	skill_decrepify
171	0	0	0	0	skill_armor_percent
172	0	0	0	0	alignment
173	0	0	0	0	target0
174	0	0	0	0	target1
175	0	0	0	0	goldlost
176	0	0	0	0	conversion_level
177	0	0	0	0	conversion_maxhp
178	0	0	0	0	unit_dooverlay
179	9	10	0	0	attack_vs_montype
180	9	10	0	0	damage_vs_montype
181	3	0	0	0	fade
182	0	0	0	0	armor_override_percent
183	0	0	0	0	unused183
184	0	0	0	0	unused184
185	0	0	0	0	unused185
186	0	0	0	0	unused186
187	0	0	0	0	unused187
188	3	16	0	0	item_addskill_tab
189	0	0	0	0	unused189
190	0	0	0	0	unused190
191	0	0	0	0	unused191
192	0	0	0	0	unused192
193	0	0	0	0	unused193
194	4	0	0	0	item_numsockets
195	7	16	0	0	item_skillonattack
196	7	16	0	0	item_skillonkill
197	7	16	0	0	item_skillondeath
198	7	16	0	0	item_skillonhit
199	7	16	0	0	item_skillonlevelup
200	0	0	0	0	unused200
201	7	16	0	0	item_skillongethit
202	0	0	0	0	unused202
203	0	0	0	0	unused203
204	16	16	0	0	item_charged_skill
205	0	0	0	0	unused204
206	0	0	0	0	unused205
207	0	0	0	0	unused206
208	0	0	0	0	unused207
209	0	0	0	0	unused208
210	0	0	0	0	unused209
211	0	0	0	0	unused210
212	0	0	0	0	unused211
213	0	0	0	0	unused212
214	6	0	0	0	item_armor_perlevel
215	6	0	0	0	item_armorpercent_perlevel
216	6	0	0	8	item_hp_perlevel
217	6	0	0	8	item_mana_perlevel
218	6	0	0	0	item_maxdamage_perlevel
219	6	0	0	0	item_maxdamage_percent_perlevel
220	6	0	0	0	item_strength_perlevel
221	6	0	0	0	item_dexterity_perlevel
222	6	0	0	0	item_energy_perlevel
223	6	0	0	0	item_vitality_perlevel
224	6	0	0	0	item_tohit_perlevel
225	6	0	0	0	item_tohitpercent_perlevel
226	6	0	0	0	item_cold_damagemax_perlevel
227	6	0	0	0	item_fire_damagemax_perlevel
228	6	0	0	0	item_ltng_damagemax_perlevel
229	6	0	0	0	item_pois_damagemax_perlevel
230	6	0	0	0	item_resist_cold_perlevel
231	6	0	0	0	item_resist_fire_perlevel
232	6	0	0	0	item_resist_ltng_perlevel
233	6	0	0	0	item_resist_pois_perlevel
234	6	0	0	0	item_absorb_cold_perlevel
235	6	0	0	0	item_absorb_fire_perlevel
236	6	0	0	0	item_absorb_ltng_perlevel
237	6	0	0	0	item_absorb_pois_perlevel
238	5	0	0	0	item_thorns_perlevel
239	6	0	0	0	item_find_gold_perlevel
240	6	0	0	0	item_find_magic_perlevel
241	6	0	0	0	item_regenstamina_perlevel
242	6	0	0	0	item_stamina_perlevel
243	6	0	0	0	item_damage_demon_perlevel
244	6	0	0	0	item_damage_undead_perlevel
245	6	0	0	0	item_tohit_demon_perlevel
246	6	0	0	0	item_tohit_undead_perlevel
247	6	0	0	0	item_crushingblow_perlevel
248	6	0	0	0	item_openwounds_perlevel
249	6	0	0	0	item_kick_damage_perlevel
250	6	0	0	0	item_deadlystrike_perlevel
251	0	0	0	0	item_find_gems_perlevel
252	6	0	0	0	item_replenish_durability
253	6	0	0	0	item_replenish_quantity
254	8	0	0	0	item_extra_stack
255	0	0	0	0	item_find_item
256	0	0	0	0	item_slash_damage
257	0	0	0	0	item_slash_damage_percent
258	0	0	0	0	item_crush_damage
259	0	0	0	0	item_crush_damage_percent
260	0	0	0	0	item_thrust_damage
261	0	0	0	0	item_thrust_damage_percent
262	0	0	0	0	item_absorb_slash
263	0	0	0	0	item_absorb_crush
264	0	0	0	0	item_absorb_thrust
265	0	0	0	0	item_absorb_slash_percent
266	0	0	0	0	item_absorb_crush_percent
267	0	0	0	0	item_absorb_thrust_percent
268	22	0	0	0	item_armor_bytime
269	22	0	0	0	item_armorpercent_bytime
270	22	0	0	0	item_hp_bytime
271	22	0	0	0	item_mana_bytime
272	22	0	0	0	item_maxdamage_bytime
273	22	0	0	0	item_maxdamage_percent_bytime
274	22	0	0	0	item_strength_bytime
275	22	0	0	0	item_dexterity_bytime
276	22	0	0	0	item_energy_bytime
277	22	0	0	0	item_vitality_bytime
278	22	0	0	0	item_tohit_bytime
279	22	0	0	0	item_tohitpercent_bytime
280	22	0	0	0	item_cold_damagemax_bytime
281	22	0	0	0	item_fire_damagemax_bytime
282	22	0	0	0	item_ltng_damagemax_bytime
283	22	0	0	0	item_pois_damagemax_bytime
284	22	0	0	0	item_resist_cold_bytime
285	22	0	0	0	item_resist_fire_bytime
286	22	0	0	0	item_resist_ltng_bytime
287	22	0	0	0	item_resist_pois_bytime
288	22	0	0	0	item_absorb_cold_bytime
289	22	0	0	0	item_absorb_fire_bytime
290	22	0	0	0	item_absorb_ltng_bytime
291	22	0	0	0	item_absorb_pois_bytime
292	22	0	0	0	item_find_gold_bytime
293	22	0	0	0	item_find_magic_bytime
294	22	0	0	0	item_regenstamina_bytime
295	22	0	0	0	item_stamina_bytime
296	22	0	0	0	item_damage_demon_bytime
297	22	0	0	0	item_damage_undead_bytime
298	22	0	0	0	item_tohit_demon_bytime
299	22	0	0	0	item_tohit_undead_bytime
300	22	0	0	0	item_crushingblow_bytime
301	22	0	0	0	item_openwounds_bytime
302	22	0	0	0	item_kick_damage_bytime
303	22	0	0	0	item_deadlystrike_bytime
304	0	0	0	0	item_find_gems_bytime
305	8	0	50	0	item_pierce_cold
306	8	0	50	0	item_pierce_fire
307	8	0	50	0	item_pierce_ltng
308	8	0	50	0	item_pierce_pois
309	0	0	0	0	item_damage_vs_monster
310	0	0	0	0	item_damage_percent_vs_monster
311	0	0	0	0	item_tohit_vs_monster
312	0	0	0	0	item_tohit_percent_vs_monster
313	0	0	0	0	item_ac_vs_monster
314	0	0	0	0	item_ac_percent_vs_monster
315	0	0	0	0	firelength
316	0	0	0	0	burningmin
317	0	0	0	0	burningmax
318	0	0	0	0	progressive_damage
319	0	0	0	0	progressive_steal
320	0	0	0	0	progressive_other
321	0	0	0	0	progressive_fire
322	0	0	0	0	progressive_cold
323	0	0	0	0	progressive_lightning
324	6	0	0	0	item_extra_charges
325	0	0	0	0	progressive_tohit
326	0	0	0	0	poison_count
327	0	0	0	0	damage_framerate
328	0	0	0	0	pierce_idx
329	9	0	50	0	passive_fire_mastery
330	9	0	50	0	passive_ltng_mastery
331	9	0	50	0	passive_cold_mastery
332	9	0	50	0	passive_pois_mastery
333	8	0	0	0	passive_fire_pierce
334	8	0	0	0	passive_ltng_pierce
335	8	0	0	0	passive_cold_pierce
336	8	0	0	0	passive_pois_pierce
337	8	0	0	0	passive_critical_strike
338	7	0	0	0	passive_dodge
339	7	0	0	0	passive_avoid
340	7	0	0	0	passive_evade
341	8	0	0	0	passive_warmth
342	8	0	0	0	passive_mastery_melee_th
343	8	0	0	0	passive_mastery_melee_dmg
344	8	0	0	0	passive_mastery_melee_crit
345	8	0	0	0	passive_mastery_throw_th
346	8	0	0	0	passive_mastery_throw_dmg
347	8	0	0	0	passive_mastery_throw_crit
348	8	0	0	0	passive_weaponblock
349	8	0	0	0	passive_summon_resist
350	0	0	0	0	modifierlist_skill
351	0	0	0	0	modifierlist_level
352	0	0	0	0	last_sent_hp_pct
353	0	0	0	0	source_unit_type
354	0	0	0	0	source_unit_id
355	0	0	0	0	shortparam1
356	2	0	0	0	questitemdifficulty
357	9	0	50	0	passive_mag_mastery
358	8	0	0	0	passive_mag_pierce
